2025-04-04 10:49:01.643 - Detected: fist, Action: down
2025-04-04 10:49:01.971 - Detected: fist, Action: down
2025-04-04 10:49:02.297 - Detected: fist, Action: down
2025-04-04 10:49:02.646 - Detected: fist, Action: down
2025-04-04 10:49:02.967 - Detected: fist, Action: down
2025-04-04 10:49:03.292 - Detected: fist, Action: down
2025-04-04 10:49:03.643 - Detected: fist, Action: down
2025-04-04 10:49:03.957 - Detected: fist, Action: down
2025-04-04 10:49:04.296 - Detected: fist, Action: down
2025-04-04 10:49:04.604 - Detected: fist, Action: down
2025-04-04 10:49:04.907 - Detected: fist, Action: down
2025-04-04 10:49:05.210 - Detected: fist, Action: down
2025-04-04 10:49:05.513 - Detected: fist, Action: down
2025-04-04 10:49:05.832 - Detected: fist, Action: down
2025-04-04 10:49:06.142 - Detected: fist, Action: down
2025-04-04 10:49:06.472 - Detected: fist, Action: down
2025-04-04 10:49:06.774 - Detected: fist, Action: down
2025-04-04 10:49:07.082 - Detected: fist, Action: down
2025-04-04 10:49:07.396 - Detected: fist, Action: down
2025-04-04 10:49:07.734 - Detected: fist, Action: down
2025-04-04 10:49:08.055 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:08.368 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:08.689 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:08.996 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:09.313 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:09.633 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:09.953 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:10.267 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:10.569 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:10.872 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:11.176 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:11.501 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:11.837 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:12.164 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:12.473 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:12.786 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:13.111 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:13.437 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:13.756 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:14.079 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:14.473 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:14.798 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:15.099 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:15.405 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:15.715 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:16.053 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:16.373 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:16.706 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:17.021 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:17.336 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:17.648 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:17.958 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:18.296 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:18.625 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:18.952 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:19.265 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:19.586 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:19.908 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:20.223 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:20.547 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:20.872 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:21.188 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:21.501 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:21.819 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:22.128 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:22.442 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:22.755 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:23.074 - Detected: two_fingers, Action: right
2025-04-04 10:49:23.393 - Detected: two_fingers, Action: right
2025-04-04 10:49:23.717 - Detected: two_fingers, Action: right
2025-04-04 10:49:24.028 - Detected: two_fingers, Action: right
2025-04-04 10:49:24.333 - Detected: two_fingers, Action: right
2025-04-04 10:49:24.650 - Detected: two_fingers, Action: right
2025-04-04 10:49:24.967 - Detected: two_fingers, Action: right
2025-04-04 10:49:25.269 - Detected: two_fingers, Action: right
2025-04-04 10:49:25.595 - Detected: two_fingers, Action: right
2025-04-04 10:49:25.923 - Detected: two_fingers, Action: right
2025-04-04 10:49:26.235 - Detected: two_fingers, Action: right
2025-04-04 10:49:26.564 - Detected: two_fingers, Action: right
2025-04-04 10:49:26.892 - Detected: two_fingers, Action: right
2025-04-04 10:49:27.219 - Detected: two_fingers, Action: right
2025-04-04 10:49:27.546 - Detected: two_fingers, Action: right
2025-04-04 10:49:27.930 - Detected: two_fingers, Action: right
2025-04-04 10:49:28.234 - Detected: two_fingers, Action: right
2025-04-04 10:49:28.576 - Detected: two_fingers, Action: right
2025-04-04 10:49:28.907 - Detected: two_fingers, Action: right
2025-04-04 10:49:29.210 - Detected: two_fingers, Action: right
2025-04-04 10:49:29.539 - Detected: two_fingers, Action: right
2025-04-04 10:49:29.847 - Detected: two_fingers, Action: right
2025-04-04 10:49:30.185 - Detected: two_fingers, Action: right
2025-04-04 10:49:30.513 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:30.830 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:31.158 - Detected: two_fingers, Action: right
2025-04-04 10:49:31.487 - Detected: two_fingers, Action: right
2025-04-04 10:49:31.816 - Detected: two_fingers, Action: right
2025-04-04 10:49:32.134 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:32.445 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:32.777 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:33.109 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:33.468 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:33.793 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:34.123 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:34.441 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:34.771 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:35.077 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:35.405 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:35.748 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:36.073 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:36.407 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:36.732 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:37.042 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:37.369 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:37.722 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:38.054 - Detected: one_finger, Action: left
2025-04-04 10:49:38.367 - Detected: one_finger, Action: left
2025-04-04 10:49:38.693 - Detected: one_finger, Action: left
2025-04-04 10:49:39.019 - Detected: one_finger, Action: left
2025-04-04 10:49:39.345 - Detected: one_finger, Action: left
2025-04-04 10:49:39.674 - Detected: one_finger, Action: left
2025-04-04 10:49:39.999 - Detected: one_finger, Action: left
2025-04-04 10:49:40.313 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:40.641 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:41.004 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:41.333 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:41.670 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:42.002 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:42.330 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:42.664 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:43.005 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:43.320 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:43.653 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:43.954 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:44.284 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:44.602 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:44.923 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:45.254 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:45.593 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:45.922 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:46.252 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:46.602 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:46.938 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:47.250 - Detected: one_finger, Action: left
2025-04-04 10:49:47.579 - Detected: one_finger, Action: left
2025-04-04 10:49:47.931 - Detected: one_finger, Action: left
2025-04-04 10:49:48.252 - Detected: one_finger, Action: left
2025-04-04 10:49:48.584 - Detected: one_finger, Action: left
2025-04-04 10:49:48.921 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:49.249 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:49.572 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:49.923 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:50.258 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:50.586 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:50.938 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:51.275 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:51.603 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:51.932 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:52.266 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:52.579 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:52.939 - Detected: all_fingers, Action: neutral
2025-04-04 10:49:53.283 - Detected: all_fingers, Action: neutral
