2025-04-04 10:59:28.985 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:29.468 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:29.770 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:30.108 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:30.414 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:30.714 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:31.038 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:31.387 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:31.723 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:32.062 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:32.365 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:32.686 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:33.020 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:33.338 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:33.660 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:33.978 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:34.280 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:34.586 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:34.890 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:35.215 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:35.515 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:35.850 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:36.154 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:36.455 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:36.779 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:37.084 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:37.406 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:37.729 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:38.057 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:38.364 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:38.672 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:38.993 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:39.309 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:39.656 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:39.995 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:40.306 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:40.609 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:40.921 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:41.228 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:41.595 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:41.905 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:42.220 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:42.528 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:42.831 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:43.149 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:43.450 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:43.756 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:44.059 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:44.393 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:45.744 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:46.121 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:46.429 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:46.758 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:47.084 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:47.409 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:47.729 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:48.045 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:48.391 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:48.722 - Detected: fist, Action: down
2025-04-04 10:59:49.049 - Detected: fist, Action: down
2025-04-04 10:59:49.357 - Detected: fist, Action: down
2025-04-04 10:59:49.657 - Detected: fist, Action: down
2025-04-04 10:59:49.991 - Detected: fist, Action: down
2025-04-04 10:59:50.318 - Detected: fist, Action: down
2025-04-04 10:59:50.649 - Detected: fist, Action: down
2025-04-04 10:59:50.959 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:51.260 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:51.593 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:51.914 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:52.232 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:52.539 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:52.860 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:53.160 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:53.468 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:53.785 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:54.118 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:54.428 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:54.759 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:55.080 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:55.386 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:55.690 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:55.991 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:56.329 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:56.651 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:56.982 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:57.306 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:57.609 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:57.928 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:58.265 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:58.584 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:58.890 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:59.195 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:59.502 - Detected: all_fingers, Action: neutral
2025-04-04 10:59:59.868 - Detected: all_fingers, Action: neutral
2025-04-04 11:00:00.181 - Detected: all_fingers, Action: neutral
2025-04-04 11:00:00.482 - Detected: all_fingers, Action: neutral
2025-04-04 11:00:00.794 - Detected: all_fingers, Action: neutral
2025-04-04 11:00:01.119 - Detected: all_fingers, Action: neutral
2025-04-04 11:00:01.465 - Detected: two_fingers, Action: right
2025-04-04 11:00:01.780 - Detected: two_fingers, Action: right
2025-04-04 11:00:02.102 - Detected: two_fingers, Action: right
2025-04-04 11:00:02.455 - Detected: two_fingers, Action: right
2025-04-04 11:00:02.793 - Detected: two_fingers, Action: right
2025-04-04 11:00:03.101 - Detected: two_fingers, Action: right
2025-04-04 11:00:03.467 - Detected: two_fingers, Action: right
2025-04-04 11:00:03.777 - Detected: two_fingers, Action: right
2025-04-04 11:00:04.089 - Detected: one_finger, Action: left
2025-04-04 11:00:04.391 - Detected: one_finger, Action: left
2025-04-04 11:00:04.694 - Detected: one_finger, Action: left
2025-04-04 11:00:05.016 - Detected: one_finger, Action: left
2025-04-04 11:00:05.323 - Detected: one_finger, Action: left
2025-04-04 11:00:05.653 - Detected: two_fingers, Action: right
2025-04-04 11:00:05.974 - Detected: two_fingers, Action: right
2025-04-04 11:00:06.299 - Detected: one_finger, Action: left
2025-04-04 11:00:06.601 - Detected: one_finger, Action: left
2025-04-04 11:00:06.916 - Detected: one_finger, Action: left
2025-04-04 11:00:07.223 - Detected: one_finger, Action: left
2025-04-04 11:00:07.527 - Detected: two_fingers, Action: right
2025-04-04 11:00:07.831 - Detected: two_fingers, Action: right
2025-04-04 11:00:08.150 - Detected: two_fingers, Action: right
2025-04-04 11:00:08.470 - Detected: two_fingers, Action: right
2025-04-04 11:00:08.786 - Detected: two_fingers, Action: right
2025-04-04 11:00:09.095 - Detected: two_fingers, Action: right
2025-04-04 11:00:09.418 - Detected: two_fingers, Action: right
2025-04-04 11:00:09.723 - Detected: two_fingers, Action: right
2025-04-04 11:00:10.024 - Detected: two_fingers, Action: right
2025-04-04 11:00:10.341 - Detected: two_fingers, Action: right
2025-04-04 11:00:10.667 - Detected: two_fingers, Action: right
2025-04-04 11:00:10.989 - Detected: two_fingers, Action: right
2025-04-04 11:00:11.298 - Detected: two_fingers, Action: right
2025-04-04 11:00:11.615 - Detected: two_fingers, Action: right
2025-04-04 11:00:11.930 - Detected: two_fingers, Action: right
2025-04-04 11:00:12.267 - Detected: two_fingers, Action: right
2025-04-04 11:00:12.589 - Detected: two_fingers, Action: right
2025-04-04 11:00:12.907 - Detected: two_fingers, Action: right
2025-04-04 11:00:13.227 - Detected: two_fingers, Action: right
2025-04-04 11:00:13.556 - Detected: two_fingers, Action: right
2025-04-04 11:00:13.869 - Detected: two_fingers, Action: right
2025-04-04 11:00:14.202 - Detected: two_fingers, Action: right
2025-04-04 11:00:14.527 - Detected: two_fingers, Action: right
2025-04-04 11:00:14.857 - Detected: fist, Action: down
2025-04-04 11:00:15.162 - Detected: fist, Action: down
2025-04-04 11:00:15.468 - Detected: fist, Action: down
2025-04-04 11:00:15.768 - Detected: fist, Action: down
2025-04-04 11:00:16.072 - Detected: fist, Action: down
2025-04-04 11:00:16.395 - Detected: fist, Action: down
2025-04-04 11:00:16.728 - Detected: fist, Action: down
2025-04-04 11:00:17.032 - Detected: fist, Action: down
2025-04-04 11:00:17.337 - Detected: fist, Action: down
2025-04-04 11:00:17.659 - Detected: fist, Action: down
2025-04-04 11:00:17.993 - Detected: fist, Action: down
2025-04-04 11:00:18.315 - Detected: fist, Action: down
2025-04-04 11:00:18.646 - Detected: fist, Action: down
2025-04-04 11:00:18.961 - Detected: fist, Action: down
2025-04-04 11:00:19.274 - Detected: fist, Action: down
2025-04-04 11:00:19.589 - Detected: fist, Action: down
2025-04-04 11:00:19.917 - Detected: fist, Action: down
